Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2719	2731	100	2000	0.99	S14_20180414_060002.wav_2719	GreyGibbon
2	Spectrogram 1	1	2773	2785	100	2000	1	S14_20180414_060002.wav_2773	GreyGibbon
3	Spectrogram 1	1	2833	2845	100	2000	0.94	S14_20180414_060002.wav_2833	GreyGibbon
4	Spectrogram 1	1	2917	2929	100	2000	1	S14_20180414_060002.wav_2917	GreyGibbon
5	Spectrogram 1	1	2977	2989	100	2000	1	S14_20180414_060002.wav_2977	GreyGibbon
1	Spectrogram 1	1	3067	3079	100	2000	1	S14_20180414_060002.wav_3067	GreyGibbon
2	Spectrogram 1	1	3133	3145	100	2000	1	S14_20180414_060002.wav_3133	GreyGibbon
3	Spectrogram 1	1	3193	3205	100	2000	1	S14_20180414_060002.wav_3193	GreyGibbon
