Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1009	1021	100	2000	0.54	S16_20180617_060002.wav_1009	GreyGibbon
2	Spectrogram 1	1	1129	1141	100	2000	1	S16_20180617_060002.wav_1129	GreyGibbon
3	Spectrogram 1	1	1201	1213	100	2000	1	S16_20180617_060002.wav_1201	GreyGibbon
1	Spectrogram 1	1	1207	1219	100	2000	1	S16_20180617_060002.wav_1207	GreyGibbon
2	Spectrogram 1	1	1267	1279	100	2000	1	S16_20180617_060002.wav_1267	GreyGibbon
3	Spectrogram 1	1	1315	1327	100	2000	0.98	S16_20180617_060002.wav_1315	GreyGibbon
4	Spectrogram 1	1	1375	1387	100	2000	0.99	S16_20180617_060002.wav_1375	GreyGibbon
5	Spectrogram 1	1	1441	1453	100	2000	0.99	S16_20180617_060002.wav_1441	GreyGibbon
6	Spectrogram 1	1	1513	1525	100	2000	1	S16_20180617_060002.wav_1513	GreyGibbon
7	Spectrogram 1	1	1579	1591	100	2000	1	S16_20180617_060002.wav_1579	GreyGibbon
8	Spectrogram 1	1	1657	1669	100	2000	0.99	S16_20180617_060002.wav_1657	GreyGibbon
9	Spectrogram 1	1	1729	1741	100	2000	0.98	S16_20180617_060002.wav_1729	GreyGibbon
1	Spectrogram 1	1	1843	1855	100	2000	0.96	S16_20180617_060002.wav_1843	GreyGibbon
2	Spectrogram 1	1	2017	2029	100	2000	0.78	S16_20180617_060002.wav_2017	GreyGibbon
1	Spectrogram 1	1	2407	2419	100	2000	0.66	S16_20180617_060002.wav_2407	GreyGibbon
1	Spectrogram 1	1	4261	4273	100	2000	1	S16_20180617_060002.wav_4261	GreyGibbon
2	Spectrogram 1	1	4309	4321	100	2000	1	S16_20180617_060002.wav_4309	GreyGibbon
3	Spectrogram 1	1	4381	4393	100	2000	1	S16_20180617_060002.wav_4381	GreyGibbon
4	Spectrogram 1	1	4441	4453	100	2000	1	S16_20180617_060002.wav_4441	GreyGibbon
5	Spectrogram 1	1	4537	4549	100	2000	1	S16_20180617_060002.wav_4537	GreyGibbon
1	Spectrogram 1	1	5017	5029	100	2000	0.78	S16_20180617_060002.wav_5017	GreyGibbon
2	Spectrogram 1	1	5365	5377	100	2000	0.91	S16_20180617_060002.wav_5365	GreyGibbon
3	Spectrogram 1	1	5395	5407	100	2000	0.91	S16_20180617_060002.wav_5395	GreyGibbon
