Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	4309	4321	100	2000	1	S14_20180425_060002.wav_4309	GreyGibbon
2	Spectrogram 1	1	4351	4363	100	2000	1	S14_20180425_060002.wav_4351	GreyGibbon
3	Spectrogram 1	1	4411	4423	100	2000	1	S14_20180425_060002.wav_4411	GreyGibbon
4	Spectrogram 1	1	4477	4489	100	2000	0.96	S14_20180425_060002.wav_4477	GreyGibbon
5	Spectrogram 1	1	4543	4555	100	2000	1	S14_20180425_060002.wav_4543	GreyGibbon
6	Spectrogram 1	1	4633	4645	100	2000	1	S14_20180425_060002.wav_4633	GreyGibbon
7	Spectrogram 1	1	4765	4777	100	2000	1	S14_20180425_060002.wav_4765	GreyGibbon
1	Spectrogram 1	1	4891	4903	100	2000	0.97	S14_20180425_060002.wav_4891	GreyGibbon
2	Spectrogram 1	1	5005	5017	100	2000	1	S14_20180425_060002.wav_5005	GreyGibbon
