Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3157	3169	100	2000	0.96	S20_20180308_060002.wav_3157	GreyGibbon
2	Spectrogram 1	1	3187	3199	100	2000	1	S20_20180308_060002.wav_3187	GreyGibbon
3	Spectrogram 1	1	3229	3241	100	2000	0.99	S20_20180308_060002.wav_3229	GreyGibbon
4	Spectrogram 1	1	3283	3295	100	2000	1	S20_20180308_060002.wav_3283	GreyGibbon
5	Spectrogram 1	1	3337	3349	100	2000	1	S20_20180308_060002.wav_3337	GreyGibbon
6	Spectrogram 1	1	3397	3409	100	2000	1	S20_20180308_060002.wav_3397	GreyGibbon
7	Spectrogram 1	1	3463	3475	100	2000	1	S20_20180308_060002.wav_3463	GreyGibbon
8	Spectrogram 1	1	3529	3541	100	2000	1	S20_20180308_060002.wav_3529	GreyGibbon
9	Spectrogram 1	1	3595	3607	100	2000	1	S20_20180308_060002.wav_3595	GreyGibbon
1	Spectrogram 1	1	3685	3697	100	2000	0.98	S20_20180308_060002.wav_3685	GreyGibbon
2	Spectrogram 1	1	3721	3733	100	2000	0.99	S20_20180308_060002.wav_3721	GreyGibbon
3	Spectrogram 1	1	3769	3781	100	2000	1	S20_20180308_060002.wav_3769	GreyGibbon
4	Spectrogram 1	1	3811	3823	100	2000	0.96	S20_20180308_060002.wav_3811	GreyGibbon
5	Spectrogram 1	1	3853	3865	100	2000	0.9	S20_20180308_060002.wav_3853	GreyGibbon
6	Spectrogram 1	1	3883	3895	100	2000	0.97	S20_20180308_060002.wav_3883	GreyGibbon
7	Spectrogram 1	1	3931	3943	100	2000	1	S20_20180308_060002.wav_3931	GreyGibbon
8	Spectrogram 1	1	3973	3985	100	2000	0.97	S20_20180308_060002.wav_3973	GreyGibbon
9	Spectrogram 1	1	4015	4027	100	2000	0.98	S20_20180308_060002.wav_4015	GreyGibbon
10	Spectrogram 1	1	4045	4057	100	2000	0.99	S20_20180308_060002.wav_4045	GreyGibbon
11	Spectrogram 1	1	4087	4099	100	2000	0.92	S20_20180308_060002.wav_4087	GreyGibbon
12	Spectrogram 1	1	4177	4189	100	2000	0.96	S20_20180308_060002.wav_4177	GreyGibbon
1	Spectrogram 1	1	4219	4231	100	2000	0.98	S20_20180308_060002.wav_4219	GreyGibbon
2	Spectrogram 1	1	4273	4285	100	2000	0.96	S20_20180308_060002.wav_4273	GreyGibbon
3	Spectrogram 1	1	4321	4333	100	2000	1	S20_20180308_060002.wav_4321	GreyGibbon
4	Spectrogram 1	1	4363	4375	100	2000	0.82	S20_20180308_060002.wav_4363	GreyGibbon
5	Spectrogram 1	1	4411	4423	100	2000	0.99	S20_20180308_060002.wav_4411	GreyGibbon
6	Spectrogram 1	1	4459	4471	100	2000	0.98	S20_20180308_060002.wav_4459	GreyGibbon
7	Spectrogram 1	1	4555	4567	100	2000	0.98	S20_20180308_060002.wav_4555	GreyGibbon
8	Spectrogram 1	1	4615	4627	100	2000	0.95	S20_20180308_060002.wav_4615	GreyGibbon
9	Spectrogram 1	1	4663	4675	100	2000	0.99	S20_20180308_060002.wav_4663	GreyGibbon
10	Spectrogram 1	1	4711	4723	100	2000	0.99	S20_20180308_060002.wav_4711	GreyGibbon
11	Spectrogram 1	1	4771	4783	100	2000	1	S20_20180308_060002.wav_4771	GreyGibbon
1	Spectrogram 1	1	5935	5947	100	2000	1	S20_20180308_060002.wav_5935	GreyGibbon
2	Spectrogram 1	1	5983	5995	100	2000	1	S20_20180308_060002.wav_5983	GreyGibbon
1	Spectrogram 1	1	6055	6067	100	2000	1	S20_20180308_060002.wav_6055	GreyGibbon
2	Spectrogram 1	1	6145	6157	100	2000	1	S20_20180308_060002.wav_6145	GreyGibbon
3	Spectrogram 1	1	6211	6223	100	2000	1	S20_20180308_060002.wav_6211	GreyGibbon
4	Spectrogram 1	1	6283	6295	100	2000	1	S20_20180308_060002.wav_6283	GreyGibbon
5	Spectrogram 1	1	6373	6385	100	2000	1	S20_20180308_060002.wav_6373	GreyGibbon
6	Spectrogram 1	1	6457	6469	100	2000	0.98	S20_20180308_060002.wav_6457	GreyGibbon
7	Spectrogram 1	1	6559	6571	100	2000	1	S20_20180308_060002.wav_6559	GreyGibbon
8	Spectrogram 1	1	6667	6679	100	2000	1	S20_20180308_060002.wav_6667	GreyGibbon
9	Spectrogram 1	1	6775	6787	100	2000	1	S20_20180308_060002.wav_6775	GreyGibbon
