Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2785	2797	100	2000	0.52	S19_20180310_060002.wav_2785	GreyGibbon
2	Spectrogram 1	1	2845	2857	100	2000	0.56	S19_20180310_060002.wav_2845	GreyGibbon
1	Spectrogram 1	1	4063	4075	100	2000	0.71	S19_20180310_060002.wav_4063	GreyGibbon
1	Spectrogram 1	1	5203	5215	100	2000	0.98	S19_20180310_060002.wav_5203	GreyGibbon
2	Spectrogram 1	1	5287	5299	100	2000	0.76	S19_20180310_060002.wav_5287	GreyGibbon
3	Spectrogram 1	1	5383	5395	100	2000	1	S19_20180310_060002.wav_5383	GreyGibbon
1	Spectrogram 1	1	5545	5557	100	2000	1	S19_20180310_060002.wav_5545	GreyGibbon
2	Spectrogram 1	1	5731	5743	100	2000	0.99	S19_20180310_060002.wav_5731	GreyGibbon
3	Spectrogram 1	1	5773	5785	100	2000	1	S19_20180310_060002.wav_5773	GreyGibbon
4	Spectrogram 1	1	5821	5833	100	2000	1	S19_20180310_060002.wav_5821	GreyGibbon
5	Spectrogram 1	1	5893	5905	100	2000	0.58	S19_20180310_060002.wav_5893	GreyGibbon
6	Spectrogram 1	1	5953	5965	100	2000	1	S19_20180310_060002.wav_5953	GreyGibbon
7	Spectrogram 1	1	5995	6007	100	2000	1	S19_20180310_060002.wav_5995	GreyGibbon
1	Spectrogram 1	1	6061	6073	100	2000	1	S19_20180310_060002.wav_6061	GreyGibbon
2	Spectrogram 1	1	6133	6145	100	2000	0.9	S19_20180310_060002.wav_6133	GreyGibbon
3	Spectrogram 1	1	6193	6205	100	2000	1	S19_20180310_060002.wav_6193	GreyGibbon
4	Spectrogram 1	1	6271	6283	100	2000	1	S19_20180310_060002.wav_6271	GreyGibbon
5	Spectrogram 1	1	6325	6337	100	2000	1	S19_20180310_060002.wav_6325	GreyGibbon
6	Spectrogram 1	1	6397	6409	100	2000	0.84	S19_20180310_060002.wav_6397	GreyGibbon
7	Spectrogram 1	1	6445	6457	100	2000	1	S19_20180310_060002.wav_6445	GreyGibbon
8	Spectrogram 1	1	6529	6541	100	2000	1	S19_20180310_060002.wav_6529	GreyGibbon
9	Spectrogram 1	1	6577	6589	100	2000	1	S19_20180310_060002.wav_6577	GreyGibbon
10	Spectrogram 1	1	6607	6619	100	2000	1	S19_20180310_060002.wav_6607	GreyGibbon
11	Spectrogram 1	1	6697	6709	100	2000	1	S19_20180310_060002.wav_6697	GreyGibbon
