Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1333	1345	100	2000	0.96	S19_20180511_060002.wav_1333	GreyGibbon
2	Spectrogram 1	1	1435	1447	100	2000	0.99	S19_20180511_060002.wav_1435	GreyGibbon
3	Spectrogram 1	1	1687	1699	100	2000	0.62	S19_20180511_060002.wav_1687	GreyGibbon
1	Spectrogram 1	1	4237	4249	100	2000	0.59	S19_20180511_060002.wav_4237	GreyGibbon
2	Spectrogram 1	1	4435	4447	100	2000	1	S19_20180511_060002.wav_4435	GreyGibbon
3	Spectrogram 1	1	4501	4513	100	2000	1	S19_20180511_060002.wav_4501	GreyGibbon
4	Spectrogram 1	1	4525	4537	100	2000	0.9	S19_20180511_060002.wav_4525	GreyGibbon
5	Spectrogram 1	1	4573	4585	100	2000	0.97	S19_20180511_060002.wav_4573	GreyGibbon
6	Spectrogram 1	1	4621	4633	100	2000	1	S19_20180511_060002.wav_4621	GreyGibbon
7	Spectrogram 1	1	4669	4681	100	2000	0.99	S19_20180511_060002.wav_4669	GreyGibbon
8	Spectrogram 1	1	4747	4759	100	2000	0.97	S19_20180511_060002.wav_4747	GreyGibbon
1	Spectrogram 1	1	5419	5431	100	2000	0.83	S19_20180511_060002.wav_5419	GreyGibbon
2	Spectrogram 1	1	5467	5479	100	2000	0.84	S19_20180511_060002.wav_5467	GreyGibbon
3	Spectrogram 1	1	5521	5533	100	2000	0.97	S19_20180511_060002.wav_5521	GreyGibbon
4	Spectrogram 1	1	5569	5581	100	2000	0.87	S19_20180511_060002.wav_5569	GreyGibbon
5	Spectrogram 1	1	5617	5629	100	2000	0.94	S19_20180511_060002.wav_5617	GreyGibbon
6	Spectrogram 1	1	5671	5683	100	2000	0.69	S19_20180511_060002.wav_5671	GreyGibbon
7	Spectrogram 1	1	5851	5863	100	2000	0.69	S19_20180511_060002.wav_5851	GreyGibbon
8	Spectrogram 1	1	5911	5923	100	2000	0.91	S19_20180511_060002.wav_5911	GreyGibbon
1	Spectrogram 1	1	6061	6073	100	2000	0.98	S19_20180511_060002.wav_6061	GreyGibbon
2	Spectrogram 1	1	6871	6883	100	2000	1	S19_20180511_060002.wav_6871	GreyGibbon
3	Spectrogram 1	1	6943	6955	100	2000	0.83	S19_20180511_060002.wav_6943	GreyGibbon
4	Spectrogram 1	1	7009	7021	100	2000	0.79	S19_20180511_060002.wav_7009	GreyGibbon
