Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3109	3121	100	2000	1	S18_20180411_060002.wav_3109	GreyGibbon
2	Spectrogram 1	1	3175	3187	100	2000	0.99	S18_20180411_060002.wav_3175	GreyGibbon
3	Spectrogram 1	1	3229	3241	100	2000	0.86	S18_20180411_060002.wav_3229	GreyGibbon
4	Spectrogram 1	1	3337	3349	100	2000	0.61	S18_20180411_060002.wav_3337	GreyGibbon
5	Spectrogram 1	1	3439	3451	100	2000	0.63	S18_20180411_060002.wav_3439	GreyGibbon
6	Spectrogram 1	1	3523	3535	100	2000	0.94	S18_20180411_060002.wav_3523	GreyGibbon
7	Spectrogram 1	1	3589	3601	100	2000	0.99	S18_20180411_060002.wav_3589	GreyGibbon
1	Spectrogram 1	1	3667	3679	100	2000	1	S18_20180411_060002.wav_3667	GreyGibbon
2	Spectrogram 1	1	3745	3757	100	2000	0.81	S18_20180411_060002.wav_3745	GreyGibbon
3	Spectrogram 1	1	3829	3841	100	2000	0.99	S18_20180411_060002.wav_3829	GreyGibbon
4	Spectrogram 1	1	3919	3931	100	2000	0.81	S18_20180411_060002.wav_3919	GreyGibbon
5	Spectrogram 1	1	4153	4165	100	2000	0.99	S18_20180411_060002.wav_4153	GreyGibbon
1	Spectrogram 1	1	5911	5923	100	2000	0.84	S18_20180411_060002.wav_5911	GreyGibbon
