Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1147	1159	100	2000	0.66	S20_20180619_060002.wav_1147	GreyGibbon
2	Spectrogram 1	1	955	967	100	2000	0.91	S20_20180619_060002.wav_955	GreyGibbon
1	Spectrogram 1	1	1501	1513	100	2000	0.68	S20_20180619_060002.wav_1501	GreyGibbon
1	Spectrogram 1	1	1891	1903	100	2000	1	S20_20180619_060002.wav_1891	GreyGibbon
2	Spectrogram 1	1	2023	2035	100	2000	0.98	S20_20180619_060002.wav_2023	GreyGibbon
3	Spectrogram 1	1	2185	2197	100	2000	1	S20_20180619_060002.wav_2185	GreyGibbon
4	Spectrogram 1	1	2221	2233	100	2000	0.82	S20_20180619_060002.wav_2221	GreyGibbon
5	Spectrogram 1	1	2251	2263	100	2000	1	S20_20180619_060002.wav_2251	GreyGibbon
6	Spectrogram 1	1	2311	2323	100	2000	1	S20_20180619_060002.wav_2311	GreyGibbon
7	Spectrogram 1	1	2371	2383	100	2000	1	S20_20180619_060002.wav_2371	GreyGibbon
1	Spectrogram 1	1	2437	2449	100	2000	1	S20_20180619_060002.wav_2437	GreyGibbon
2	Spectrogram 1	1	2509	2521	100	2000	1	S20_20180619_060002.wav_2509	GreyGibbon
3	Spectrogram 1	1	2653	2665	100	2000	1	S20_20180619_060002.wav_2653	GreyGibbon
4	Spectrogram 1	1	2773	2785	100	2000	1	S20_20180619_060002.wav_2773	GreyGibbon
5	Spectrogram 1	1	2857	2869	100	2000	1	S20_20180619_060002.wav_2857	GreyGibbon
6	Spectrogram 1	1	2923	2935	100	2000	0.7	S20_20180619_060002.wav_2923	GreyGibbon
7	Spectrogram 1	1	2941	2953	100	2000	1	S20_20180619_060002.wav_2941	GreyGibbon
1	Spectrogram 1	1	3055	3067	100	2000	1	S20_20180619_060002.wav_3055	GreyGibbon
1	Spectrogram 1	1	4699	4711	100	2000	0.7	S20_20180619_060002.wav_4699	GreyGibbon
2	Spectrogram 1	1	4759	4771	100	2000	1	S20_20180619_060002.wav_4759	GreyGibbon
3	Spectrogram 1	1	4795	4807	100	2000	0.99	S20_20180619_060002.wav_4795	GreyGibbon
1	Spectrogram 1	1	4837	4849	100	2000	0.94	S20_20180619_060002.wav_4837	GreyGibbon
2	Spectrogram 1	1	4873	4885	100	2000	1	S20_20180619_060002.wav_4873	GreyGibbon
3	Spectrogram 1	1	4921	4933	100	2000	1	S20_20180619_060002.wav_4921	GreyGibbon
4	Spectrogram 1	1	4963	4975	100	2000	1	S20_20180619_060002.wav_4963	GreyGibbon
5	Spectrogram 1	1	5017	5029	100	2000	0.71	S20_20180619_060002.wav_5017	GreyGibbon
6	Spectrogram 1	1	5089	5101	100	2000	0.94	S20_20180619_060002.wav_5089	GreyGibbon
7	Spectrogram 1	1	5125	5137	100	2000	0.98	S20_20180619_060002.wav_5125	GreyGibbon
8	Spectrogram 1	1	5161	5173	100	2000	1	S20_20180619_060002.wav_5161	GreyGibbon
9	Spectrogram 1	1	5221	5233	100	2000	0.86	S20_20180619_060002.wav_5221	GreyGibbon
10	Spectrogram 1	1	5275	5287	100	2000	1	S20_20180619_060002.wav_5275	GreyGibbon
11	Spectrogram 1	1	5329	5341	100	2000	0.5	S20_20180619_060002.wav_5329	GreyGibbon
12	Spectrogram 1	1	5401	5413	100	2000	1	S20_20180619_060002.wav_5401	GreyGibbon
1	Spectrogram 1	1	5401	5413	100	2000	1	S20_20180619_060002.wav_5401	GreyGibbon
2	Spectrogram 1	1	5455	5467	100	2000	1	S20_20180619_060002.wav_5455	GreyGibbon
3	Spectrogram 1	1	5515	5527	100	2000	1	S20_20180619_060002.wav_5515	GreyGibbon
4	Spectrogram 1	1	5563	5575	100	2000	0.98	S20_20180619_060002.wav_5563	GreyGibbon
5	Spectrogram 1	1	5623	5635	100	2000	0.99	S20_20180619_060002.wav_5623	GreyGibbon
1	Spectrogram 1	1	6373	6385	100	2000	0.94	S20_20180619_060002.wav_6373	GreyGibbon
2	Spectrogram 1	1	6871	6883	100	2000	0.76	S20_20180619_060002.wav_6871	GreyGibbon
3	Spectrogram 1	1	6931	6943	100	2000	0.57	S20_20180619_060002.wav_6931	GreyGibbon
