Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	169	181	100	2000	0.94	S19_20180628_060002.wav_169	GreyGibbon
2	Spectrogram 1	1	235	247	100	2000	0.8	S19_20180628_060002.wav_235	GreyGibbon
3	Spectrogram 1	1	301	313	100	2000	0.54	S19_20180628_060002.wav_301	GreyGibbon
4	Spectrogram 1	1	61	73	100	2000	0.95	S19_20180628_060002.wav_61	GreyGibbon
5	Spectrogram 1	1	97	109	100	2000	0.83	S19_20180628_060002.wav_97	GreyGibbon
1	Spectrogram 1	1	2947	2959	100	2000	0.85	S19_20180628_060002.wav_2947	GreyGibbon
1	Spectrogram 1	1	4417	4429	100	2000	0.56	S19_20180628_060002.wav_4417	GreyGibbon
1	Spectrogram 1	1	5749	5761	100	2000	0.87	S19_20180628_060002.wav_5749	GreyGibbon
2	Spectrogram 1	1	5803	5815	100	2000	1	S19_20180628_060002.wav_5803	GreyGibbon
3	Spectrogram 1	1	5845	5857	100	2000	0.86	S19_20180628_060002.wav_5845	GreyGibbon
1	Spectrogram 1	1	6067	6079	100	2000	1	S19_20180628_060002.wav_6067	GreyGibbon
2	Spectrogram 1	1	6121	6133	100	2000	0.89	S19_20180628_060002.wav_6121	GreyGibbon
3	Spectrogram 1	1	6187	6199	100	2000	0.97	S19_20180628_060002.wav_6187	GreyGibbon
4	Spectrogram 1	1	6271	6283	100	2000	0.99	S19_20180628_060002.wav_6271	GreyGibbon
5	Spectrogram 1	1	6331	6343	100	2000	1	S19_20180628_060002.wav_6331	GreyGibbon
6	Spectrogram 1	1	6409	6421	100	2000	1	S19_20180628_060002.wav_6409	GreyGibbon
7	Spectrogram 1	1	6499	6511	100	2000	1	S19_20180628_060002.wav_6499	GreyGibbon
8	Spectrogram 1	1	6601	6613	100	2000	0.99	S19_20180628_060002.wav_6601	GreyGibbon
