Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	6481	6493	100	2000	1	S11_20180223_060002.wav_6481	GreyGibbon
2	Spectrogram 1	1	6517	6529	100	2000	1	S11_20180223_060002.wav_6517	GreyGibbon
3	Spectrogram 1	1	6565	6577	100	2000	1	S11_20180223_060002.wav_6565	GreyGibbon
4	Spectrogram 1	1	6583	6595	100	2000	1	S11_20180223_060002.wav_6583	GreyGibbon
5	Spectrogram 1	1	6619	6631	100	2000	0.54	S11_20180223_060002.wav_6619	GreyGibbon
6	Spectrogram 1	1	6655	6667	100	2000	0.97	S11_20180223_060002.wav_6655	GreyGibbon
7	Spectrogram 1	1	6679	6691	100	2000	1	S11_20180223_060002.wav_6679	GreyGibbon
8	Spectrogram 1	1	6733	6745	100	2000	0.77	S11_20180223_060002.wav_6733	GreyGibbon
9	Spectrogram 1	1	6811	6823	100	2000	0.94	S11_20180223_060002.wav_6811	GreyGibbon
10	Spectrogram 1	1	6871	6883	100	2000	0.83	S11_20180223_060002.wav_6871	GreyGibbon
11	Spectrogram 1	1	6949	6961	100	2000	0.81	S11_20180223_060002.wav_6949	GreyGibbon
12	Spectrogram 1	1	6979	6991	100	2000	0.99	S11_20180223_060002.wav_6979	GreyGibbon
13	Spectrogram 1	1	7015	7027	100	2000	0.76	S11_20180223_060002.wav_7015	GreyGibbon
14	Spectrogram 1	1	7051	7063	100	2000	0.79	S11_20180223_060002.wav_7051	GreyGibbon
15	Spectrogram 1	1	7111	7123	100	2000	0.77	S11_20180223_060002.wav_7111	GreyGibbon
16	Spectrogram 1	1	7183	7195	100	2000	0.58	S11_20180223_060002.wav_7183	GreyGibbon
