Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1051	1063	100	2000	0.77	S19_20180515_060002.wav_1051	GreyGibbon
2	Spectrogram 1	1	1165	1177	100	2000	0.7	S19_20180515_060002.wav_1165	GreyGibbon
3	Spectrogram 1	1	913	925	100	2000	0.93	S19_20180515_060002.wav_913	GreyGibbon
1	Spectrogram 1	1	3001	3013	100	2000	0.99	S19_20180515_060002.wav_3001	GreyGibbon
1	Spectrogram 1	1	3001	3013	100	2000	0.99	S19_20180515_060002.wav_3001	GreyGibbon
2	Spectrogram 1	1	3037	3049	100	2000	0.98	S19_20180515_060002.wav_3037	GreyGibbon
3	Spectrogram 1	1	3067	3079	100	2000	1	S19_20180515_060002.wav_3067	GreyGibbon
4	Spectrogram 1	1	3109	3121	100	2000	0.98	S19_20180515_060002.wav_3109	GreyGibbon
5	Spectrogram 1	1	3151	3163	100	2000	1	S19_20180515_060002.wav_3151	GreyGibbon
6	Spectrogram 1	1	3205	3217	100	2000	1	S19_20180515_060002.wav_3205	GreyGibbon
7	Spectrogram 1	1	3247	3259	100	2000	1	S19_20180515_060002.wav_3247	GreyGibbon
8	Spectrogram 1	1	3295	3307	100	2000	1	S19_20180515_060002.wav_3295	GreyGibbon
9	Spectrogram 1	1	3349	3361	100	2000	0.99	S19_20180515_060002.wav_3349	GreyGibbon
10	Spectrogram 1	1	3397	3409	100	2000	1	S19_20180515_060002.wav_3397	GreyGibbon
11	Spectrogram 1	1	3469	3481	100	2000	1	S19_20180515_060002.wav_3469	GreyGibbon
12	Spectrogram 1	1	3535	3547	100	2000	1	S19_20180515_060002.wav_3535	GreyGibbon
1	Spectrogram 1	1	3781	3793	100	2000	0.63	S19_20180515_060002.wav_3781	GreyGibbon
1	Spectrogram 1	1	6307	6319	100	2000	0.87	S19_20180515_060002.wav_6307	GreyGibbon
2	Spectrogram 1	1	6397	6409	100	2000	1	S19_20180515_060002.wav_6397	GreyGibbon
3	Spectrogram 1	1	6439	6451	100	2000	0.98	S19_20180515_060002.wav_6439	GreyGibbon
4	Spectrogram 1	1	6493	6505	100	2000	1	S19_20180515_060002.wav_6493	GreyGibbon
5	Spectrogram 1	1	6571	6583	100	2000	0.86	S19_20180515_060002.wav_6571	GreyGibbon
