Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	5785	5797	100	2000	0.99	S19_20180322_060002.wav_5785	GreyGibbon
2	Spectrogram 1	1	5821	5833	100	2000	0.99	S19_20180322_060002.wav_5821	GreyGibbon
3	Spectrogram 1	1	5863	5875	100	2000	1	S19_20180322_060002.wav_5863	GreyGibbon
4	Spectrogram 1	1	5905	5917	100	2000	1	S19_20180322_060002.wav_5905	GreyGibbon
5	Spectrogram 1	1	5983	5995	100	2000	0.98	S19_20180322_060002.wav_5983	GreyGibbon
1	Spectrogram 1	1	6037	6049	100	2000	1	S19_20180322_060002.wav_6037	GreyGibbon
2	Spectrogram 1	1	6061	6073	100	2000	0.51	S19_20180322_060002.wav_6061	GreyGibbon
3	Spectrogram 1	1	6103	6115	100	2000	1	S19_20180322_060002.wav_6103	GreyGibbon
4	Spectrogram 1	1	6205	6217	100	2000	1	S19_20180322_060002.wav_6205	GreyGibbon
5	Spectrogram 1	1	6271	6283	100	2000	1	S19_20180322_060002.wav_6271	GreyGibbon
6	Spectrogram 1	1	6331	6343	100	2000	0.99	S19_20180322_060002.wav_6331	GreyGibbon
