Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	5623	5635	100	2000	1	S11_20180411_060002.wav_5623	GreyGibbon
2	Spectrogram 1	1	5653	5665	100	2000	0.54	S11_20180411_060002.wav_5653	GreyGibbon
3	Spectrogram 1	1	5677	5689	100	2000	1	S11_20180411_060002.wav_5677	GreyGibbon
4	Spectrogram 1	1	5725	5737	100	2000	0.99	S11_20180411_060002.wav_5725	GreyGibbon
5	Spectrogram 1	1	5755	5767	100	2000	1	S11_20180411_060002.wav_5755	GreyGibbon
6	Spectrogram 1	1	5821	5833	100	2000	1	S11_20180411_060002.wav_5821	GreyGibbon
7	Spectrogram 1	1	5875	5887	100	2000	1	S11_20180411_060002.wav_5875	GreyGibbon
8	Spectrogram 1	1	5941	5953	100	2000	1	S11_20180411_060002.wav_5941	GreyGibbon
9	Spectrogram 1	1	6001	6013	100	2000	1	S11_20180411_060002.wav_6001	GreyGibbon
1	Spectrogram 1	1	6007	6019	100	2000	0.99	S11_20180411_060002.wav_6007	GreyGibbon
2	Spectrogram 1	1	6079	6091	100	2000	0.94	S11_20180411_060002.wav_6079	GreyGibbon
3	Spectrogram 1	1	6139	6151	100	2000	0.96	S11_20180411_060002.wav_6139	GreyGibbon
4	Spectrogram 1	1	6181	6193	100	2000	1	S11_20180411_060002.wav_6181	GreyGibbon
5	Spectrogram 1	1	6241	6253	100	2000	1	S11_20180411_060002.wav_6241	GreyGibbon
6	Spectrogram 1	1	6313	6325	100	2000	1	S11_20180411_060002.wav_6313	GreyGibbon
7	Spectrogram 1	1	6391	6403	100	2000	1	S11_20180411_060002.wav_6391	GreyGibbon
8	Spectrogram 1	1	6481	6493	100	2000	1	S11_20180411_060002.wav_6481	GreyGibbon
9	Spectrogram 1	1	6595	6607	100	2000	0.98	S11_20180411_060002.wav_6595	GreyGibbon
