Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1075	1087	100	2000	1	S19_20180501_060002.wav_1075	GreyGibbon
2	Spectrogram 1	1	1141	1153	100	2000	0.95	S19_20180501_060002.wav_1141	GreyGibbon
3	Spectrogram 1	1	991	1003	100	2000	0.9	S19_20180501_060002.wav_991	GreyGibbon
1	Spectrogram 1	1	1261	1273	100	2000	0.77	S19_20180501_060002.wav_1261	GreyGibbon
2	Spectrogram 1	1	1333	1345	100	2000	0.96	S19_20180501_060002.wav_1333	GreyGibbon
3	Spectrogram 1	1	1357	1369	100	2000	0.97	S19_20180501_060002.wav_1357	GreyGibbon
4	Spectrogram 1	1	1381	1393	100	2000	0.95	S19_20180501_060002.wav_1381	GreyGibbon
5	Spectrogram 1	1	1429	1441	100	2000	0.8	S19_20180501_060002.wav_1429	GreyGibbon
6	Spectrogram 1	1	1555	1567	100	2000	1	S19_20180501_060002.wav_1555	GreyGibbon
7	Spectrogram 1	1	1609	1621	100	2000	0.9	S19_20180501_060002.wav_1609	GreyGibbon
8	Spectrogram 1	1	1657	1669	100	2000	0.88	S19_20180501_060002.wav_1657	GreyGibbon
9	Spectrogram 1	1	1681	1693	100	2000	0.95	S19_20180501_060002.wav_1681	GreyGibbon
10	Spectrogram 1	1	1771	1783	100	2000	0.99	S19_20180501_060002.wav_1771	GreyGibbon
1	Spectrogram 1	1	3049	3061	100	2000	1	S19_20180501_060002.wav_3049	GreyGibbon
2	Spectrogram 1	1	3097	3109	100	2000	0.99	S19_20180501_060002.wav_3097	GreyGibbon
3	Spectrogram 1	1	3175	3187	100	2000	0.99	S19_20180501_060002.wav_3175	GreyGibbon
4	Spectrogram 1	1	3253	3265	100	2000	1	S19_20180501_060002.wav_3253	GreyGibbon
5	Spectrogram 1	1	3319	3331	100	2000	0.94	S19_20180501_060002.wav_3319	GreyGibbon
6	Spectrogram 1	1	3397	3409	100	2000	1	S19_20180501_060002.wav_3397	GreyGibbon
7	Spectrogram 1	1	3451	3463	100	2000	1	S19_20180501_060002.wav_3451	GreyGibbon
8	Spectrogram 1	1	3547	3559	100	2000	0.99	S19_20180501_060002.wav_3547	GreyGibbon
1	Spectrogram 1	1	3649	3661	100	2000	1	S19_20180501_060002.wav_3649	GreyGibbon
2	Spectrogram 1	1	4075	4087	100	2000	0.93	S19_20180501_060002.wav_4075	GreyGibbon
3	Spectrogram 1	1	4123	4135	100	2000	0.93	S19_20180501_060002.wav_4123	GreyGibbon
4	Spectrogram 1	1	4165	4177	100	2000	1	S19_20180501_060002.wav_4165	GreyGibbon
1	Spectrogram 1	1	4273	4285	100	2000	0.63	S19_20180501_060002.wav_4273	GreyGibbon
2	Spectrogram 1	1	4321	4333	100	2000	0.88	S19_20180501_060002.wav_4321	GreyGibbon
3	Spectrogram 1	1	4381	4393	100	2000	1	S19_20180501_060002.wav_4381	GreyGibbon
4	Spectrogram 1	1	4501	4513	100	2000	0.97	S19_20180501_060002.wav_4501	GreyGibbon
1	Spectrogram 1	1	5125	5137	100	2000	1	S19_20180501_060002.wav_5125	GreyGibbon
2	Spectrogram 1	1	5167	5179	100	2000	1	S19_20180501_060002.wav_5167	GreyGibbon
3	Spectrogram 1	1	5221	5233	100	2000	1	S19_20180501_060002.wav_5221	GreyGibbon
4	Spectrogram 1	1	5263	5275	100	2000	1	S19_20180501_060002.wav_5263	GreyGibbon
5	Spectrogram 1	1	5311	5323	100	2000	1	S19_20180501_060002.wav_5311	GreyGibbon
6	Spectrogram 1	1	5371	5383	100	2000	1	S19_20180501_060002.wav_5371	GreyGibbon
7	Spectrogram 1	1	5401	5413	100	2000	0.57	S19_20180501_060002.wav_5401	GreyGibbon
1	Spectrogram 1	1	5407	5419	100	2000	1	S19_20180501_060002.wav_5407	GreyGibbon
2	Spectrogram 1	1	5437	5449	100	2000	1	S19_20180501_060002.wav_5437	GreyGibbon
3	Spectrogram 1	1	5497	5509	100	2000	1	S19_20180501_060002.wav_5497	GreyGibbon
4	Spectrogram 1	1	5521	5533	100	2000	1	S19_20180501_060002.wav_5521	GreyGibbon
5	Spectrogram 1	1	5575	5587	100	2000	1	S19_20180501_060002.wav_5575	GreyGibbon
6	Spectrogram 1	1	5635	5647	100	2000	1	S19_20180501_060002.wav_5635	GreyGibbon
7	Spectrogram 1	1	5683	5695	100	2000	1	S19_20180501_060002.wav_5683	GreyGibbon
8	Spectrogram 1	1	5707	5719	100	2000	1	S19_20180501_060002.wav_5707	GreyGibbon
9	Spectrogram 1	1	5773	5785	100	2000	1	S19_20180501_060002.wav_5773	GreyGibbon
10	Spectrogram 1	1	5797	5809	100	2000	1	S19_20180501_060002.wav_5797	GreyGibbon
11	Spectrogram 1	1	5851	5863	100	2000	1	S19_20180501_060002.wav_5851	GreyGibbon
12	Spectrogram 1	1	5911	5923	100	2000	0.99	S19_20180501_060002.wav_5911	GreyGibbon
1	Spectrogram 1	1	6061	6073	100	2000	0.65	S19_20180501_060002.wav_6061	GreyGibbon
2	Spectrogram 1	1	6133	6145	100	2000	1	S19_20180501_060002.wav_6133	GreyGibbon
