Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3499	3511	100	2000	0.56	S12_20180222_060002.wav_3499	GreyGibbon
2	Spectrogram 1	1	3553	3565	100	2000	0.98	S12_20180222_060002.wav_3553	GreyGibbon
3	Spectrogram 1	1	3583	3595	100	2000	0.99	S12_20180222_060002.wav_3583	GreyGibbon
1	Spectrogram 1	1	3619	3631	100	2000	0.82	S12_20180222_060002.wav_3619	GreyGibbon
2	Spectrogram 1	1	3673	3685	100	2000	0.84	S12_20180222_060002.wav_3673	GreyGibbon
3	Spectrogram 1	1	3709	3721	100	2000	0.83	S12_20180222_060002.wav_3709	GreyGibbon
4	Spectrogram 1	1	3769	3781	100	2000	1	S12_20180222_060002.wav_3769	GreyGibbon
5	Spectrogram 1	1	3823	3835	100	2000	0.96	S12_20180222_060002.wav_3823	GreyGibbon
6	Spectrogram 1	1	3853	3865	100	2000	0.81	S12_20180222_060002.wav_3853	GreyGibbon
1	Spectrogram 1	1	4591	4603	100	2000	1	S12_20180222_060002.wav_4591	GreyGibbon
2	Spectrogram 1	1	4675	4687	100	2000	0.99	S12_20180222_060002.wav_4675	GreyGibbon
3	Spectrogram 1	1	4711	4723	100	2000	0.86	S12_20180222_060002.wav_4711	GreyGibbon
4	Spectrogram 1	1	4759	4771	100	2000	0.97	S12_20180222_060002.wav_4759	GreyGibbon
1	Spectrogram 1	1	4819	4831	100	2000	0.5	S12_20180222_060002.wav_4819	GreyGibbon
2	Spectrogram 1	1	4945	4957	100	2000	0.74	S12_20180222_060002.wav_4945	GreyGibbon
3	Spectrogram 1	1	5011	5023	100	2000	0.99	S12_20180222_060002.wav_5011	GreyGibbon
4	Spectrogram 1	1	5095	5107	100	2000	0.8	S12_20180222_060002.wav_5095	GreyGibbon
