Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1021	1033	100	2000	0.51	S12_20180331_060002.wav_1021	GreyGibbon
2	Spectrogram 1	1	1057	1069	100	2000	0.55	S12_20180331_060002.wav_1057	GreyGibbon
3	Spectrogram 1	1	1087	1099	100	2000	0.76	S12_20180331_060002.wav_1087	GreyGibbon
4	Spectrogram 1	1	1153	1165	100	2000	0.69	S12_20180331_060002.wav_1153	GreyGibbon
5	Spectrogram 1	1	1183	1195	100	2000	0.99	S12_20180331_060002.wav_1183	GreyGibbon
6	Spectrogram 1	1	787	799	100	2000	0.75	S12_20180331_060002.wav_787	GreyGibbon
7	Spectrogram 1	1	811	823	100	2000	0.79	S12_20180331_060002.wav_811	GreyGibbon
8	Spectrogram 1	1	871	883	100	2000	0.99	S12_20180331_060002.wav_871	GreyGibbon
9	Spectrogram 1	1	931	943	100	2000	0.63	S12_20180331_060002.wav_931	GreyGibbon
10	Spectrogram 1	1	961	973	100	2000	0.97	S12_20180331_060002.wav_961	GreyGibbon
1	Spectrogram 1	1	1537	1549	100	2000	0.84	S12_20180331_060002.wav_1537	GreyGibbon
2	Spectrogram 1	1	1579	1591	100	2000	0.58	S12_20180331_060002.wav_1579	GreyGibbon
3	Spectrogram 1	1	1615	1627	100	2000	1	S12_20180331_060002.wav_1615	GreyGibbon
4	Spectrogram 1	1	1651	1663	100	2000	0.97	S12_20180331_060002.wav_1651	GreyGibbon
5	Spectrogram 1	1	1753	1765	100	2000	0.68	S12_20180331_060002.wav_1753	GreyGibbon
1	Spectrogram 1	1	1939	1951	100	2000	0.85	S12_20180331_060002.wav_1939	GreyGibbon
2	Spectrogram 1	1	2035	2047	100	2000	0.97	S12_20180331_060002.wav_2035	GreyGibbon
3	Spectrogram 1	1	2095	2107	100	2000	0.63	S12_20180331_060002.wav_2095	GreyGibbon
1	Spectrogram 1	1	7159	7171	100	2000	0.83	S12_20180331_060002.wav_7159	GreyGibbon
