Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1933	1945	100	3000	0.98	R1052_WA_20221103_050002.wav_1933	CrestedGibbon
2	Spectrogram 1	1	1999	2011	100	3000	0.99	R1052_WA_20221103_050002.wav_1999	CrestedGibbon
3	Spectrogram 1	1	2065	2077	100	3000	1	R1052_WA_20221103_050002.wav_2065	CrestedGibbon
4	Spectrogram 1	1	2083	2095	100	3000	0.94	R1052_WA_20221103_050002.wav_2083	CrestedGibbon
5	Spectrogram 1	1	2107	2119	100	3000	1	R1052_WA_20221103_050002.wav_2107	CrestedGibbon
6	Spectrogram 1	1	2143	2155	100	3000	1	R1052_WA_20221103_050002.wav_2143	CrestedGibbon
7	Spectrogram 1	1	2209	2221	100	3000	1	R1052_WA_20221103_050002.wav_2209	CrestedGibbon
8	Spectrogram 1	1	2281	2293	100	3000	1	R1052_WA_20221103_050002.wav_2281	CrestedGibbon
9	Spectrogram 1	1	2365	2377	100	3000	1	R1052_WA_20221103_050002.wav_2365	CrestedGibbon
10	Spectrogram 1	1	2401	2413	100	3000	0.92	R1052_WA_20221103_050002.wav_2401	CrestedGibbon
1	Spectrogram 1	1	2401	2413	100	3000	0.92	R1052_WA_20221103_050002.wav_2401	CrestedGibbon
2	Spectrogram 1	1	2449	2461	100	3000	1	R1052_WA_20221103_050002.wav_2449	CrestedGibbon
3	Spectrogram 1	1	2473	2485	100	3000	0.91	R1052_WA_20221103_050002.wav_2473	CrestedGibbon
4	Spectrogram 1	1	2551	2563	100	3000	1	R1052_WA_20221103_050002.wav_2551	CrestedGibbon
5	Spectrogram 1	1	2683	2695	100	3000	1	R1052_WA_20221103_050002.wav_2683	CrestedGibbon
6	Spectrogram 1	1	2767	2779	100	3000	1	R1052_WA_20221103_050002.wav_2767	CrestedGibbon
7	Spectrogram 1	1	2815	2827	100	3000	1	R1052_WA_20221103_050002.wav_2815	CrestedGibbon
8	Spectrogram 1	1	2965	2977	100	3000	1	R1052_WA_20221103_050002.wav_2965	CrestedGibbon
9	Spectrogram 1	1	3139	3151	100	3000	0.99	R1052_WA_20221103_050002.wav_3139	CrestedGibbon
