Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2497	2509	100	3000	0.93	R1058_WA_20220910_050002.wav_2497	CrestedGibbon
2	Spectrogram 1	1	2521	2533	100	3000	0.92	R1058_WA_20220910_050002.wav_2521	CrestedGibbon
3	Spectrogram 1	1	2551	2563	100	3000	0.99	R1058_WA_20220910_050002.wav_2551	CrestedGibbon
4	Spectrogram 1	1	2593	2605	100	3000	0.95	R1058_WA_20220910_050002.wav_2593	CrestedGibbon
5	Spectrogram 1	1	2851	2863	100	3000	0.95	R1058_WA_20220910_050002.wav_2851	CrestedGibbon
6	Spectrogram 1	1	2917	2929	100	3000	0.99	R1058_WA_20220910_050002.wav_2917	CrestedGibbon
7	Spectrogram 1	1	2953	2965	100	3000	0.91	R1058_WA_20220910_050002.wav_2953	CrestedGibbon
8	Spectrogram 1	1	3013	3025	100	3000	0.99	R1058_WA_20220910_050002.wav_3013	CrestedGibbon
9	Spectrogram 1	1	3103	3115	100	3000	1	R1058_WA_20220910_050002.wav_3103	CrestedGibbon
10	Spectrogram 1	1	3223	3235	100	3000	0.99	R1058_WA_20220910_050002.wav_3223	CrestedGibbon
11	Spectrogram 1	1	3307	3319	100	3000	0.99	R1058_WA_20220910_050002.wav_3307	CrestedGibbon
12	Spectrogram 1	1	3415	3427	100	3000	0.99	R1058_WA_20220910_050002.wav_3415	CrestedGibbon
13	Spectrogram 1	1	3547	3559	100	3000	0.97	R1058_WA_20220910_050002.wav_3547	CrestedGibbon
