Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2449	2461	100	3000	0.99	R1058_WA_20220820_050002.wav_2449	CrestedGibbon
2	Spectrogram 1	1	2509	2521	100	3000	0.92	R1058_WA_20220820_050002.wav_2509	CrestedGibbon
3	Spectrogram 1	1	2557	2569	100	3000	0.93	R1058_WA_20220820_050002.wav_2557	CrestedGibbon
4	Spectrogram 1	1	2611	2623	100	3000	0.96	R1058_WA_20220820_050002.wav_2611	CrestedGibbon
5	Spectrogram 1	1	2713	2725	100	3000	0.99	R1058_WA_20220820_050002.wav_2713	CrestedGibbon
6	Spectrogram 1	1	2737	2749	100	3000	1	R1058_WA_20220820_050002.wav_2737	CrestedGibbon
7	Spectrogram 1	1	2785	2797	100	3000	0.99	R1058_WA_20220820_050002.wav_2785	CrestedGibbon
8	Spectrogram 1	1	2875	2887	100	3000	0.99	R1058_WA_20220820_050002.wav_2875	CrestedGibbon
9	Spectrogram 1	1	2929	2941	100	3000	0.96	R1058_WA_20220820_050002.wav_2929	CrestedGibbon
10	Spectrogram 1	1	2983	2995	100	3000	0.91	R1058_WA_20220820_050002.wav_2983	CrestedGibbon
11	Spectrogram 1	1	3001	3013	100	3000	0.91	R1058_WA_20220820_050002.wav_3001	CrestedGibbon
12	Spectrogram 1	1	3121	3133	100	3000	0.9	R1058_WA_20220820_050002.wav_3121	CrestedGibbon
13	Spectrogram 1	1	3193	3205	100	3000	0.93	R1058_WA_20220820_050002.wav_3193	CrestedGibbon
14	Spectrogram 1	1	3259	3271	100	3000	0.93	R1058_WA_20220820_050002.wav_3259	CrestedGibbon
15	Spectrogram 1	1	3319	3331	100	3000	0.93	R1058_WA_20220820_050002.wav_3319	CrestedGibbon
16	Spectrogram 1	1	3427	3439	100	3000	0.9	R1058_WA_20220820_050002.wav_3427	CrestedGibbon
