Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1993	2005	100	3000	1	R1058_WA_20221030_050002.wav_1993	CrestedGibbon
2	Spectrogram 1	1	2071	2083	100	3000	0.98	R1058_WA_20221030_050002.wav_2071	CrestedGibbon
3	Spectrogram 1	1	2143	2155	100	3000	0.97	R1058_WA_20221030_050002.wav_2143	CrestedGibbon
4	Spectrogram 1	1	2221	2233	100	3000	1	R1058_WA_20221030_050002.wav_2221	CrestedGibbon
5	Spectrogram 1	1	2293	2305	100	3000	1	R1058_WA_20221030_050002.wav_2293	CrestedGibbon
6	Spectrogram 1	1	2359	2371	100	3000	0.99	R1058_WA_20221030_050002.wav_2359	CrestedGibbon
7	Spectrogram 1	1	2383	2395	100	3000	1	R1058_WA_20221030_050002.wav_2383	CrestedGibbon
1	Spectrogram 1	1	2425	2437	100	3000	0.99	R1058_WA_20221030_050002.wav_2425	CrestedGibbon
2	Spectrogram 1	1	2479	2491	100	3000	0.99	R1058_WA_20221030_050002.wav_2479	CrestedGibbon
3	Spectrogram 1	1	2545	2557	100	3000	0.99	R1058_WA_20221030_050002.wav_2545	CrestedGibbon
4	Spectrogram 1	1	2569	2581	100	3000	0.99	R1058_WA_20221030_050002.wav_2569	CrestedGibbon
5	Spectrogram 1	1	2611	2623	100	3000	0.99	R1058_WA_20221030_050002.wav_2611	CrestedGibbon
6	Spectrogram 1	1	2689	2701	100	3000	0.99	R1058_WA_20221030_050002.wav_2689	CrestedGibbon
7	Spectrogram 1	1	2761	2773	100	3000	1	R1058_WA_20221030_050002.wav_2761	CrestedGibbon
8	Spectrogram 1	1	2881	2893	100	3000	0.97	R1058_WA_20221030_050002.wav_2881	CrestedGibbon
9	Spectrogram 1	1	2977	2989	100	3000	0.99	R1058_WA_20221030_050002.wav_2977	CrestedGibbon
10	Spectrogram 1	1	3067	3079	100	3000	0.99	R1058_WA_20221030_050002.wav_3067	CrestedGibbon
