Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	3061	3073	100	3000	0.93	R1052_WA_20221018_050002.wav_3061	CrestedGibbon
2	Spectrogram 1	1	3157	3169	100	3000	0.99	R1052_WA_20221018_050002.wav_3157	CrestedGibbon
3	Spectrogram 1	1	3229	3241	100	3000	0.99	R1052_WA_20221018_050002.wav_3229	CrestedGibbon
4	Spectrogram 1	1	3265	3277	100	3000	0.94	R1052_WA_20221018_050002.wav_3265	CrestedGibbon
5	Spectrogram 1	1	3289	3301	100	3000	1	R1052_WA_20221018_050002.wav_3289	CrestedGibbon
6	Spectrogram 1	1	3319	3331	100	3000	0.98	R1052_WA_20221018_050002.wav_3319	CrestedGibbon
7	Spectrogram 1	1	3367	3379	100	3000	1	R1052_WA_20221018_050002.wav_3367	CrestedGibbon
8	Spectrogram 1	1	3439	3451	100	3000	0.99	R1052_WA_20221018_050002.wav_3439	CrestedGibbon
