Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2233	2245	100	3000	0.94	R1058_WA_20221027_050002.wav_2233	CrestedGibbon
2	Spectrogram 1	1	2347	2359	100	3000	0.96	R1058_WA_20221027_050002.wav_2347	CrestedGibbon
1	Spectrogram 1	1	2407	2419	100	3000	0.99	R1058_WA_20221027_050002.wav_2407	CrestedGibbon
2	Spectrogram 1	1	2437	2449	100	3000	0.97	R1058_WA_20221027_050002.wav_2437	CrestedGibbon
3	Spectrogram 1	1	2479	2491	100	3000	0.94	R1058_WA_20221027_050002.wav_2479	CrestedGibbon
4	Spectrogram 1	1	2521	2533	100	3000	1	R1058_WA_20221027_050002.wav_2521	CrestedGibbon
5	Spectrogram 1	1	2569	2581	100	3000	0.95	R1058_WA_20221027_050002.wav_2569	CrestedGibbon
6	Spectrogram 1	1	2599	2611	100	3000	0.99	R1058_WA_20221027_050002.wav_2599	CrestedGibbon
7	Spectrogram 1	1	2629	2641	100	3000	0.99	R1058_WA_20221027_050002.wav_2629	CrestedGibbon
8	Spectrogram 1	1	2701	2713	100	3000	0.97	R1058_WA_20221027_050002.wav_2701	CrestedGibbon
9	Spectrogram 1	1	2785	2797	100	3000	1	R1058_WA_20221027_050002.wav_2785	CrestedGibbon
10	Spectrogram 1	1	2875	2887	100	3000	1	R1058_WA_20221027_050002.wav_2875	CrestedGibbon
11	Spectrogram 1	1	2983	2995	100	3000	1	R1058_WA_20221027_050002.wav_2983	CrestedGibbon
12	Spectrogram 1	1	3079	3091	100	3000	0.99	R1058_WA_20221027_050002.wav_3079	CrestedGibbon
