Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2575	2587	100	3000	0.99	R1049_WA_20221102_050002.wav_2575	CrestedGibbon
2	Spectrogram 1	1	2779	2791	100	3000	0.93	R1049_WA_20221102_050002.wav_2779	CrestedGibbon
3	Spectrogram 1	1	2821	2833	100	3000	0.98	R1049_WA_20221102_050002.wav_2821	CrestedGibbon
4	Spectrogram 1	1	2875	2887	100	3000	0.99	R1049_WA_20221102_050002.wav_2875	CrestedGibbon
5	Spectrogram 1	1	2893	2905	100	3000	0.95	R1049_WA_20221102_050002.wav_2893	CrestedGibbon
6	Spectrogram 1	1	2941	2953	100	3000	0.99	R1049_WA_20221102_050002.wav_2941	CrestedGibbon
7	Spectrogram 1	1	2989	3001	100	3000	0.96	R1049_WA_20221102_050002.wav_2989	CrestedGibbon
8	Spectrogram 1	1	3061	3073	100	3000	1	R1049_WA_20221102_050002.wav_3061	CrestedGibbon
9	Spectrogram 1	1	3121	3133	100	3000	0.96	R1049_WA_20221102_050002.wav_3121	CrestedGibbon
10	Spectrogram 1	1	3169	3181	100	3000	0.99	R1049_WA_20221102_050002.wav_3169	CrestedGibbon
11	Spectrogram 1	1	3205	3217	100	3000	0.91	R1049_WA_20221102_050002.wav_3205	CrestedGibbon
12	Spectrogram 1	1	3217	3229	100	3000	0.94	R1049_WA_20221102_050002.wav_3217	CrestedGibbon
13	Spectrogram 1	1	3355	3367	100	3000	0.97	R1049_WA_20221102_050002.wav_3355	CrestedGibbon
14	Spectrogram 1	1	3469	3481	100	3000	0.99	R1049_WA_20221102_050002.wav_3469	CrestedGibbon
