Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2785	2797	100	3000	0.97	R1057_WA_20221007_050002.wav_2785	CrestedGibbon
2	Spectrogram 1	1	2905	2917	100	3000	0.95	R1057_WA_20221007_050002.wav_2905	CrestedGibbon
3	Spectrogram 1	1	2977	2989	100	3000	0.96	R1057_WA_20221007_050002.wav_2977	CrestedGibbon
4	Spectrogram 1	1	2995	3007	100	3000	0.99	R1057_WA_20221007_050002.wav_2995	CrestedGibbon
5	Spectrogram 1	1	3109	3121	100	3000	0.98	R1057_WA_20221007_050002.wav_3109	CrestedGibbon
6	Spectrogram 1	1	3259	3271	100	3000	0.98	R1057_WA_20221007_050002.wav_3259	CrestedGibbon
7	Spectrogram 1	1	3361	3373	100	3000	0.99	R1057_WA_20221007_050002.wav_3361	CrestedGibbon
8	Spectrogram 1	1	3469	3481	100	3000	0.98	R1057_WA_20221007_050002.wav_3469	CrestedGibbon
