Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2317	2329	100	3000	0.99	R1049_WA_20220816_050002.wav_2317	CrestedGibbon
2	Spectrogram 1	1	2353	2365	100	3000	0.97	R1049_WA_20220816_050002.wav_2353	CrestedGibbon
1	Spectrogram 1	1	2413	2425	100	3000	0.91	R1049_WA_20220816_050002.wav_2413	CrestedGibbon
2	Spectrogram 1	1	2491	2503	100	3000	0.92	R1049_WA_20220816_050002.wav_2491	CrestedGibbon
3	Spectrogram 1	1	2641	2653	100	3000	0.93	R1049_WA_20220816_050002.wav_2641	CrestedGibbon
4	Spectrogram 1	1	2827	2839	100	3000	0.98	R1049_WA_20220816_050002.wav_2827	CrestedGibbon
5	Spectrogram 1	1	2875	2887	100	3000	1	R1049_WA_20220816_050002.wav_2875	CrestedGibbon
6	Spectrogram 1	1	2941	2953	100	3000	0.95	R1049_WA_20220816_050002.wav_2941	CrestedGibbon
7	Spectrogram 1	1	3031	3043	100	3000	1	R1049_WA_20220816_050002.wav_3031	CrestedGibbon
8	Spectrogram 1	1	3073	3085	100	3000	0.96	R1049_WA_20220816_050002.wav_3073	CrestedGibbon
9	Spectrogram 1	1	3085	3097	100	3000	1	R1049_WA_20220816_050002.wav_3085	CrestedGibbon
10	Spectrogram 1	1	3139	3151	100	3000	1	R1049_WA_20220816_050002.wav_3139	CrestedGibbon
11	Spectrogram 1	1	3265	3277	100	3000	0.93	R1049_WA_20220816_050002.wav_3265	CrestedGibbon
12	Spectrogram 1	1	3295	3307	100	3000	0.98	R1049_WA_20220816_050002.wav_3295	CrestedGibbon
