Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2767	2779	100	3000	0.97	R1058_WA_20220902_050002.wav_2767	CrestedGibbon
2	Spectrogram 1	1	2821	2833	100	3000	0.92	R1058_WA_20220902_050002.wav_2821	CrestedGibbon
3	Spectrogram 1	1	2851	2863	100	3000	0.92	R1058_WA_20220902_050002.wav_2851	CrestedGibbon
4	Spectrogram 1	1	2881	2893	100	3000	0.92	R1058_WA_20220902_050002.wav_2881	CrestedGibbon
5	Spectrogram 1	1	2893	2905	100	3000	0.99	R1058_WA_20220902_050002.wav_2893	CrestedGibbon
6	Spectrogram 1	1	2935	2947	100	3000	0.94	R1058_WA_20220902_050002.wav_2935	CrestedGibbon
7	Spectrogram 1	1	2947	2959	100	3000	0.97	R1058_WA_20220902_050002.wav_2947	CrestedGibbon
8	Spectrogram 1	1	2959	2971	100	3000	0.94	R1058_WA_20220902_050002.wav_2959	CrestedGibbon
9	Spectrogram 1	1	2989	3001	100	3000	0.95	R1058_WA_20220902_050002.wav_2989	CrestedGibbon
10	Spectrogram 1	1	3025	3037	100	3000	0.96	R1058_WA_20220902_050002.wav_3025	CrestedGibbon
11	Spectrogram 1	1	3055	3067	100	3000	0.9	R1058_WA_20220902_050002.wav_3055	CrestedGibbon
12	Spectrogram 1	1	3103	3115	100	3000	0.91	R1058_WA_20220902_050002.wav_3103	CrestedGibbon
13	Spectrogram 1	1	3187	3199	100	3000	0.94	R1058_WA_20220902_050002.wav_3187	CrestedGibbon
